ID;nom;adresse;commune;etat;type;geo;nbPlacesDispo;nbVelosDispo;etatConnexion;localisation;datemiseajour
107;LAVOISIER;5 RUE LAURENT DE LAVOISIER;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.636105,3.106438;3;9;CONNECTED;50.636105,3.106438;2022-06-20T22:30:13+02:00
255;RUE DE ROUBAIX;SECTEUR UNION;TOURCOING;EN SERVICE;SANS TPE;50.7134,3.165011;6;6;CONNECTED;50.7134,3.165011;2022-06-20T22:30:14+02:00
62;ZENITH;BOULEVARD EMILE DUBUISSON;LILLE;EN SERVICE;AVEC TPE;50.632965,3.076437;29;1;CONNECTED;50.632965,3.076437;2022-06-20T22:30:13+02:00
39;MARCHE DE WAZEMMES;298 RUE LEON GAMBETTA;LILLE;EN SERVICE;AVEC TPE;50.627674,3.050173;7;16;CONNECTED;50.627674,3.050173;2022-06-20T22:30:12+02:00
1;METROPOLE EUROPEENNE DE LILLE;MEL RUE DU BALLON;LILLE;EN MAINTENANCE;AVEC TPE;50.641926,3.075992;0;0;CONNECTED;50.641926,3.075992;2022-02-15T07:16:30+01:00
15;ESPLANADE;PONT DU PETIT PARADIS;LILLE;EN SERVICE;AVEC TPE;50.6449,3.050645;24;0;CONNECTED;50.6449,3.050645;2022-06-20T22:30:12+02:00
41;BUISSON;681 AVENUE DE LA REPUBLIQUE;LILLE;EN SERVICE;AVEC TPE;50.656487,3.088004;12;4;CONNECTED;50.656487,3.088004;2022-06-20T22:30:12+02:00
217;HOPITAL VICTOR PROVO;BOULEVARD DE LYON;ROUBAIX;EN SERVICE;SANS TPE;50.67869,3.172558;9;7;CONNECTED;50.67869,3.172558;2022-06-20T22:30:14+02:00
61;LILLE GRAND PALAIS;30 BOULEVARD DU MARECHAL VAILLANT;LILLE;EN SERVICE;AVEC TPE;50.629246,3.075218;20;3;CONNECTED;50.629246,3.075218;2022-06-20T22:30:13+02:00
206;ALFRED MONGY;15, BOULEVARD DU GÉNÉRAL DE GAULLE;ROUBAIX;EN SERVICE;SANS TPE;50.688015,3.174815;16;8;CONNECTED;50.688015,3.174815;2022-06-20T22:30:14+02:00
109;SQUARE DU PORTUGAL;FACE AU 204 RUE DE LA BASSEE;LILLE;HORS SERVICE;AVEC TPE;50.623466,3.030667;0;0;DISCONNECTED;50.623466,3.030667;2019-07-10T19:40:06+02:00
100;SAINT MAUR;260 AVENUE DE LA REPUBLIQUE;LA MADELEINE;EN SERVICE;AVEC TPE;50.651638,3.081625;24;0;CONNECTED;50.651638,3.081625;2022-06-20T22:30:13+02:00
117;HIPPODROME;9, AVENUE HENRI GRUSON;LAMBERSART;EN SERVICE;AVEC TPE;50.641617,3.031375;1;20;CONNECTED;50.641617,3.031375;2022-06-20T22:30:13+02:00
209;USINE;AVENUE ALFRED MOTTE;ROUBAIX;EN SERVICE;AVEC TPE;50.674995,3.195737;12;18;CONNECTED;50.674995,3.195737;2022-06-20T22:30:14+02:00
151;CH. DES MARGUERITOIS;FACE AU 152 CHEMIN MARGUERITOIS;RONCHIN;EN SERVICE;SANS TPE;50.60642,3.072209;4;9;CONNECTED;50.60642,3.072209;2022-06-20T22:30:13+02:00
263;STALINGRAD;38-4 RUE DE STALINGRAD;WATTRELOS;HORS SERVICE;AVEC TPE;50.69626,3.209156;1;0;DISCONNECTED;50.69626,3.209156;2019-07-16T15:10:07+02:00
201;EDHEC;272, RUE VERTE;CROIX;EN SERVICE;SANS TPE;50.673943,3.163443;19;11;CONNECTED;50.673943,3.163443;2022-06-20T22:30:13+02:00
154;CHAUFFERIE;FACE AU 125 RUE ROGER SALENGRO;LA MADELEINE;EN SERVICE;AVEC TPE;50.65532,3.060615;6;10;CONNECTED;50.65532,3.060615;2022-06-20T22:30:13+02:00
24;FLANDRES EURALILLE;PLACE DES BUISSES;LILLE;EN SERVICE;AVEC TPE;50.637078,3.070774;40;0;CONNECTED;50.637078,3.070774;2022-06-20T22:30:12+02:00
132;CENTRE COMMERCIAL V2;BOULEVARD VALMY;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.61606,3.132006;10;9;CONNECTED;50.61606,3.132006;2022-06-20T22:30:13+02:00
156;ST ANDRE MAIRIE;FACE AU 92 RUE DU GENERAL LECLERC;SAINT ANDRE LEZ LILLE;EN SERVICE;AVEC TPE;50.661602,3.050322;10;14;CONNECTED;50.661602,3.050322;2022-06-20T22:30:13+02:00
73;ST MAURICE PELLEVOISIN;211 RUE DU FAUBOURG DE ROUBAIX;LILLE;EN SERVICE;AVEC TPE;50.642315,3.087979;17;7;CONNECTED;50.642315,3.087979;2022-06-20T22:30:13+02:00
136;RUE CHAMBORD;RUE CHAMBORD;VILLENEUVE D'ASCQ;HORS SERVICE;AVEC TPE;50.62972,3.133873;0;0;DISCONNECTED;50.62972,3.133873;2019-10-18T15:39:06+02:00
177;RUE DE LONDRES;2 Rue du Maréchal Foch;LOOS;EN SERVICE;SANS TPE;50.616763,3.023032;14;0;CONNECTED;50.616763,3.023032;2022-06-20T22:30:13+02:00
6;REPUBLIQUE BEAUX ARTS;2 RUE INKERMAN;LILLE;EN SERVICE;AVEC TPE;50.630943,3.060299;10;14;CONNECTED;50.630943,3.060299;2022-06-20T22:30:12+02:00
25;GARE LILLE FLANDRES;PLACE DE LA GARE;LILLE;EN SERVICE;AVEC TPE;50.636399,3.069354;19;1;CONNECTED;50.636399,3.069354;2022-06-20T22:30:12+02:00
212;DANIELLE LESAFFRE;42, RUE DUPUY DE LOMÉ;ROUBAIX;EN SERVICE;SANS TPE;50.682053,3.182205;11;7;CONNECTED;50.682053,3.182205;2022-06-20T22:30:14+02:00
53;PORTE DES POSTES;1 PLACE BARTHELEMY DOREZ;LILLE;EN SERVICE;AVEC TPE;50.61856,3.049251;22;16;CONNECTED;50.61856,3.049251;2022-06-20T22:30:13+02:00
56;BD VICTOR HUGO;214 BOULEVARD VICTOR HUGO;LILLE;EN SERVICE;AVEC TPE;50.620304,3.055471;14;4;CONNECTED;50.620304,3.055471;2022-06-20T22:30:13+02:00
224;CENTRE NAUTIQUE;26, RUE DE L'EPEULE;ROUBAIX;EN SERVICE;AVEC TPE;50.691406,3.162704;8;6;CONNECTED;50.691406,3.162704;2022-06-20T22:30:14+02:00
94;MARX DORMOY;RUE DE BORDEAUX;LILLE;EN SERVICE;AVEC TPE;50.63579,3.033977;21;2;CONNECTED;50.63579,3.033977;2022-06-20T22:30:13+02:00
